type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,UW-Ol,WI-STD-91 UWOL42_2,3,-0.01,0.195643446,48.3028038,10.32,0.064,0,0.17,1.86,0.892921729,8.72
standard,WK-Ol,WI-STD-91 WKOL12_1,3,-0.26,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.85,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL12_2,3,-0.17,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.85,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL13_1,3,-0.25,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.86,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL13_2,3,-0.22,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.87,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL16_1,3,-0.28,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.83,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL16_2,3,-0.31,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.83,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL4_1,3,-0.11,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.85,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL4_2,3,-0.27,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.84,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL6_1,3,-0.13,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.86,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL6_2,3,-0.23,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.84,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL7_1,3,-0.27,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.85,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL7_2,3,-0.22,0.16806235,51.35,6.13,0.132,0.2432792,0.4431096,1.85,0.937203623,8.75
standard,WK-Ol,WI-STD-91 WKOL8_1,3,-0.05,0.195643446,51.35,6.13,0.132,0.2432792,0.4431096,1.86,0.937203623,8.83
standard,WK-Ol,WI-STD-91 WKOL8_2,3,0.04,0.195643446,51.35,6.13,0.132,0.2432792,0.4431096,1.86,0.937203623,8.83
